"filename", "language", "XML", "C#", "JSON", "comment", "blank", "total"
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Services\SignUpService.cs", "C#", 0, 39, 0, 0, 9, 48
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\resources\Items\Pokeballs.json", "JSON", 0, 0, 20, 0, 0, 20
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\resources\Maps\Maps.Json", "JSON", 0, 0, 0, 0, 1, 1
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\resources\Maps\TownMaps.json", "JSON", 0, 0, 210, 0, 1, 211
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\resources\Npc\Rivals.json", "JSON", 0, 0, 69, 0, 1, 70
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\resources\Npc\Trainers.json", "JSON", 0, 0, 73, 0, 1, 74
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\resources\Player\Players.json", "JSON", 0, 0, 48, 0, 1, 49
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.ViewModels\MainWindowViewModel.cs", "C#", 0, 22, 0, 2, 6, 30
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.ViewModels\PokemonGame.ViewModels.csproj", "XML", 27, 0, 0, 0, 6, 33
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.ViewModels\Store\UserStore.cs", "C#", 0, 10, 0, 0, 2, 12
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.ViewModels\ViewModelHelper\CommandBase.cs", "C#", 0, 20, 0, 0, 3, 23
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.ViewModels\ViewModelHelper\NavigateCommand.cs", "C#", 0, 20, 0, 0, 3, 23
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.ViewModels\ViewModelHelper\NavigationStore.cs", "C#", 0, 22, 0, 0, 3, 25
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.ViewModels\ViewModelHelper\Service\IDialogService.cs", "C#", 0, 12, 0, 0, 0, 12
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.ViewModels\ViewModelHelper\ViewModelBase.cs", "C#", 0, 14, 0, 0, 2, 16
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.ViewModels\ViewModelPage\BattleMenu\MenuItemViewModel.cs", "C#", 0, 27, 0, 0, 5, 32
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.ViewModels\ViewModelPage\BattleMenu\MenuSelectionViewModel.cs", "C#", 0, 21, 0, 0, 4, 25
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.ViewModels\ViewModelPage\BattleMenu\MoveViewModel.cs", "C#", 0, 38, 0, 0, 9, 47
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.ViewModels\ViewModelPage\BattleMenu\PokemonBattleMenuViewModel .cs", "C#", 0, 54, 0, 14, 16, 84
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.ViewModels\ViewModelPage\BattleMenu\PokemonBattleMovesetMenuViewModel.cs", "C#", 0, 75, 0, 18, 16, 109
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.ViewModels\ViewModelPage\OnlineBattle\HistoryBattleViewModel.cs", "C#", 0, 31, 0, 4, 10, 45
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.ViewModels\ViewModelPage\OnlineBattle\OnlineBattleShellViewModel .cs", "C#", 0, 21, 0, 1, 6, 28
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.ViewModels\ViewModelPage\OnlineBattle\OnlineFriendsViewModel.cs", "C#", 0, 30, 0, 1, 6, 37
